"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
1,"All_violence","tmean","males",10,0.0439599150181211,0.0252126064459334,0.0627072235903089
1,"assault","tmean","males",0,0,0,0
1,"assault","tmean","males",1,0.00395670994021162,0.00208335468208317,0.00583006519834007
1,"assault","tmean","males",5,0.0197835497010581,0.0104167734104158,0.0291503259917003
1,"assault","tmean","males",10,0.0395670994021162,0.0208335468208317,0.0583006519834007
1,"suicide","tmean","males",0,0,0,0
1,"suicide","tmean","males",1,0.0180055898970908,0.00873257728194674,0.0272786025122349
1,"suicide","tmean","males",5,0.0900279494854541,0.0436628864097337,0.136393012561175
1,"suicide","tmean","males",10,0.180055898970908,0.0873257728194674,0.272786025122349
1,"All_violence","tmean","0",0,0,0,0
1,"All_violence","tmean","0",1,0.00429266963036012,0.00300522931661157,0.00558010994410866
1,"All_violence","tmean","0",5,0.0214633481518005,0.0150261465830578,0.0279005497205432
1,"All_violence","tmean","0",10,0.0429266963036011,0.0300522931661157,0.0558010994410866
1,"assault","tmean","0",0,0,0,0
1,"assault","tmean","0",1,0.00407873825006,0.00278496567330515,0.00537251082681484
1,"assault","tmean","0",5,0.0203936912502999,0.0139248283665257,0.0268625541340742
1,"assault","tmean","0",10,0.0407873825005999,0.0278496567330515,0.0537251082681484
1,"suicide","tmean","0",0,0,0,0
1,"suicide","tmean","0",1,0.0114468533983463,0.00549769719543923,0.0173960096012534
1,"suicide","tmean","0",5,0.0572342669917316,0.0274884859771962,0.086980048006267
1,"suicide","tmean","0",10,0.114468533983463,0.0549769719543923,0.173960096012534
1,"All_violence","tmean","65",0,0,0,0
1,"All_violence","tmean","65",1,0.003482726379293,-0.000703118471158609,0.0076685712297446
1,"All_violence","tmean","65",5,0.0174136318964649,-0.00351559235579304,0.0383428561487229
1,"All_violence","tmean","65",10,0.0348272637929299,-0.0070311847115861,0.076685712297446
1,"assault","tmean","65",0,0,0,0
1,"assault","tmean","65",1,0.00338281579987811,-0.000763131518163291,0.00752876311791951
1,"assault","tmean","65",5,0.0169140789993905,-0.00381565759081644,0.0376438155895975
1,"assault","tmean","65",10,0.0338281579987811,-0.00763131518163291,0.075287631179195
1,"suicide","tmean","65",0,0,0,0
1,"suicide","tmean","65",1,-0.0113869930689338,-0.0556584787532193,0.0328844926153517
1,"suicide","tmean","65",5,-0.056934965344669,-0.278292393766096,0.164422463076758
1,"suicide","tmean","65",10,-0.113869930689338,-0.556584787532193,0.328844926153516
1,"All_violence","tmean","0_24",0,0,0,0
1,"All_violence","tmean","0_24",1,0.0047786067483791,0.00272140139940611,0.00683581209735209
1,"All_violence","tmean","0_24",5,0.0238930337418955,0.0136070069970305,0.0341790604867604
1,"All_violence","tmean","0_24",10,0.047786067483791,0.0272140139940611,0.0683581209735209
1,"assault","tmean","0_24",0,0,0,0
1,"assault","tmean","0_24",1,0.00442954042671556,0.00235515801579152,0.0065039228376396
1,"assault","tmean","0_24",5,0.0221477021335778,0.0117757900789576,0.0325196141881979
1,"assault","tmean","0_24",10,0.0442954042671556,0.0235515801579152,0.065039228376396
1,"suicide","tmean","0_24",0,0,0,0
1,"suicide","tmean","0_24",1,0.0153962808686767,0.00608564468892422,0.0247069170484292
1,"suicide","tmean","0_24",5,0.0769814043433835,0.0304282234446211,0.123534585242146
1,"suicide","tmean","0_24",10,0.153962808686767,0.0608564468892421,0.247069170484292
1,"All_violence","tmean","25_44",0,0,0,0
1,"All_violence","tmean","25_44",1,0.0036231863662562,0.00155002531952672,0.00569634741298568
1,"All_violence","tmean","25_44",5,0.0181159318312809,0.00775012659763358,0.0284817370649283
1,"All_violence","tmean","25_44",10,0.036231863662562,0.0155002531952672,0.0569634741298567
1,"assault","tmean","25_44",0,0,0,0
1,"assault","tmean","25_44",1,0.0036078214401419,0.00152200812403806,0.00569363475624573
1,"assault","tmean","25_44",5,0.0180391072007094,0.00761004062019029,0.0284681737812286
1,"assault","tmean","25_44",10,0.036078214401419,0.0152200812403806,0.0569363475624573
1,"suicide","tmean","25_44",0,0,0,0
1,"suicide","tmean","25_44",1,0.00474246957748919,-0.00417570746552984,0.0136606466205082
1,"suicide","tmean","25_44",5,0.0237123478874459,-0.0208785373276492,0.0683032331025411
1,"suicide","tmean","25_44",10,0.0474246957748919,-0.0417570746552983,0.136606466205082
1,"All_violence","tmean","45_64",0,0,0,0
1,"All_violence","tmean","45_64",1,0.00444341470155779,0.00179695800280624,0.00708987140030934
1,"All_violence","tmean","45_64",5,0.0222170735077889,0.00898479001403117,0.0354493570015466
1,"All_violence","tmean","45_64",10,0.0444341470155779,0.0179695800280624,0.0708987140030933
1,"assault","tmean","45_64",0,0,0,0
1,"assault","tmean","45_64",1,0.00413525074399573,0.00149528881182172,0.00677521267616974
1,"assault","tmean","45_64",5,0.0206762537199786,0.0074764440591086,0.0338760633808486
1,"assault","tmean","45_64",10,0.0413525074399573,0.0149528881182172,0.0677521267616974
1,"suicide","tmean","45_64",0,0,0,0
1,"suicide","tmean","45_64",1,0.0185286258900024,0.00442715211895781,0.032630099661047
1,"suicide","tmean","45_64",5,0.0926431294500121,0.0221357605947891,0.163150498305235
1,"suicide","tmean","45_64",10,0.185286258900024,0.0442715211895781,0.32630099661047
1,"All_violence","tmean","females_0",0,0,0,0
1,"All_violence","tmean","females_0",1,0.00404920569551436,0.00232954249117849,0.00576886889985023
1,"All_violence","tmean","females_0",5,0.0202460284775718,0.0116477124558924,0.0288443444992511
1,"All_violence","tmean","females_0",10,0.0404920569551436,0.0232954249117849,0.0576886889985022
1,"assault","tmean","females_0",0,0,0,0
1,"assault","tmean","females_0",1,0.00399747453329385,0.00226259490563803,0.00573235416094966
1,"assault","tmean","females_0",5,0.0199873726664692,0.0113129745281901,0.0286617708047483
1,"assault","tmean","females_0",10,0.0399747453329385,0.0226259490563803,0.0573235416094966
1,"suicide","tmean","females_0",0,0,0,0
1,"suicide","tmean","females_0",1,0.00655382479126927,-0.000900922601369034,0.0140085721839076
1,"suicide","tmean","females_0",5,0.0327691239563464,-0.00450461300684517,0.0700428609195379
1,"suicide","tmean","females_0",10,0.0655382479126927,-0.00900922601369032,0.140085721839076
1,"All_violence","tmean","females_65",0,0,0,0
1,"All_violence","tmean","females_65",1,0.00458194099090049,-0.000631652008982432,0.00979553399078342
1,"All_violence","tmean","females_65",5,0.0229097049545024,-0.00315826004491215,0.048977669953917
1,"All_violence","tmean","females_65",10,0.0458194099090049,-0.00631652008982432,0.0979553399078342
1,"assault","tmean","females_65",0,0,0,0
1,"assault","tmean","females_65",1,0.00474661775320255,-0.000421873601365767,0.00991510910777086
1,"assault","tmean","females_65",5,0.0237330887660127,-0.00210936800682883,0.0495755455388542
1,"assault","tmean","females_65",10,0.0474661775320254,-0.00421873601365767,0.0991510910777085
1,"suicide","tmean","females_65",0,0,0,0
1,"suicide","tmean","females_65",1,0.0170371181275377,-0.0440425212813353,0.0781167575364107
1,"suicide","tmean","females_65",5,0.0851855906376887,-0.220212606406677,0.390583787682054
1,"suicide","tmean","females_65",10,0.170371181275377,-0.440425212813353,0.781167575364107
1,"All_violence","tmean","males_0",0,0,0,0
1,"All_violence","tmean","males_0",1,0.00459733009652006,0.00265835448188893,0.00653630571115119
1,"All_violence","tmean","males_0",5,0.0229866504826003,0.0132917724094446,0.0326815285557559
1,"All_violence","tmean","males_0",10,0.0459733009652006,0.0265835448188893,0.0653630571115119
1,"assault","tmean","males_0",0,0,0,0
1,"assault","tmean","males_0",1,0.00417380594905901,0.00223483123477515,0.00611278066334286
1,"assault","tmean","males_0",5,0.020869029745295,0.0111741561738757,0.0305639033167142
1,"assault","tmean","males_0",10,0.04173805949059,0.0223483123477515,0.0611278066334286
1,"suicide","tmean","males_0",0,0,0,0
1,"suicide","tmean","males_0",1,0.0189506750703413,0.00961875935509617,0.0282825907855864
1,"suicide","tmean","males_0",5,0.0947533753517064,0.0480937967754809,0.141412953927932
1,"suicide","tmean","males_0",10,0.189506750703413,0.0961875935509617,0.282825907855864
1,"All_violence","tmean","males_65",0,0,0,0
1,"All_violence","tmean","males_65",1,0.00139937815405543,-0.00548075787161481,0.00827951417972568
1,"All_violence","tmean","males_65",5,0.00699689077027716,-0.027403789358074,0.0413975708986283
1,"All_violence","tmean","males_65",10,0.0139937815405543,-0.0548075787161481,0.0827951417972568
1,"assault","tmean","males_65",0,0,0,0
1,"assault","tmean","males_65",1,0.000847012504041522,-0.00595679811097773,0.00765082311906078
1,"assault","tmean","males_65",5,0.0042350625202076,-0.0297839905548886,0.0382541155953038
1,"assault","tmean","males_65",10,0.00847012504041521,-0.0595679811097773,0.0765082311906078
1,"suicide","tmean","males_65",0,0,0,0
1,"suicide","tmean","males_65",1,-0.0424540288811947,-0.106529686869148,0.0216216291067584
1,"suicide","tmean","males_65",5,-0.212270144405974,-0.532648434345739,0.108108145533792
1,"suicide","tmean","males_65",10,-0.424540288811947,-1.06529686869148,0.216216291067584
1,"All_violence","tmean","northeast",0,0,0,0
1,"All_violence","tmean","northeast",1,0.00250902991962627,0.000187138818309614,0.00483092102094294
1,"All_violence","tmean","northeast",5,0.0125451495981313,0.000935694091548063,0.0241546051047146
1,"All_violence","tmean","northeast",10,0.0250902991962627,0.00187138818309613,0.0483092102094293
1,"assault","tmean","northeast",0,0,0,0
1,"assault","tmean","northeast",1,0.00258026536873909,0.000246648788052589,0.00491388194942559
1,"assault","tmean","northeast",5,0.0129013268436954,0.00123324394026294,0.0245694097471279
1,"assault","tmean","northeast",10,0.0258026536873909,0.00246648788052589,0.0491388194942559
1,"suicide","tmean","northeast",0,0,0,0
1,"suicide","tmean","northeast",1,0.00699707751384335,-0.00480554839651683,0.0187997034242035
1,"suicide","tmean","northeast",5,0.0349853875692167,-0.0240277419825841,0.0939985171210176
1,"suicide","tmean","northeast",10,0.0699707751384334,-0.0480554839651682,0.187997034242035
1,"All_violence","tmean","northern_rockies_and_plains",0,0,0,0
1,"All_violence","tmean","northern_rockies_and_plains",1,0.00562026614943057,0.000252712030181385,0.0109878202686797
1,"All_violence","tmean","northern_rockies_and_plains",5,0.0281013307471528,0.00126356015090692,0.0549391013433986
1,"All_violence","tmean","northern_rockies_and_plains",10,0.0562026614943056,0.00252712030181385,0.109878202686797
1,"assault","tmean","northern_rockies_and_plains",0,0,0,0
1,"assault","tmean","northern_rockies_and_plains",1,0.00576442656976535,0.000416809089500946,0.0111120440500297
1,"assault","tmean","northern_rockies_and_plains",5,0.0288221328488267,0.00208404544750472,0.0555602202501486
1,"assault","tmean","northern_rockies_and_plains",10,0.0576442656976534,0.00416809089500943,0.111120440500297
1,"suicide","tmean","northern_rockies_and_plains",0,0,0,0
1,"suicide","tmean","northern_rockies_and_plains",1,0.0167722992515891,-0.0201940744953672,0.0537386729985454
1,"suicide","tmean","northern_rockies_and_plains",5,0.0838614962579455,-0.100970372476836,0.268693364992727
