"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
6,"suicide","tmean","45_64",10,0.116462956740491,-0.0366584621400828,0.269584375621064
6,"All_violence","tmean","females_0",0,0,0,0
6,"All_violence","tmean","females_0",1,0.00587413567121154,0.00402083871753689,0.00772743262488618
6,"All_violence","tmean","females_0",5,0.0293706783560576,0.0201041935876844,0.0386371631244308
6,"All_violence","tmean","females_0",10,0.0587413567121153,0.0402083871753689,0.0772743262488618
6,"assault","tmean","females_0",0,0,0,0
6,"assault","tmean","females_0",1,0.00549559460405484,0.00362792221945091,0.00736326698865878
6,"assault","tmean","females_0",5,0.0274779730202742,0.0181396110972545,0.0368163349432938
6,"assault","tmean","females_0",10,0.0549559460405484,0.0362792221945091,0.0736326698865878
6,"suicide","tmean","females_0",0,0,0,0
6,"suicide","tmean","females_0",1,0.0103069762157266,0.00206913058520897,0.0185448218462442
6,"suicide","tmean","females_0",5,0.0515348810786329,0.0103456529260448,0.0927241092312209
6,"suicide","tmean","females_0",10,0.103069762157266,0.0206913058520895,0.185448218462442
6,"All_violence","tmean","females_65",0,0,0,0
6,"All_violence","tmean","females_65",1,-0.000404635293084555,-0.00605511224705413,0.00524584166088501
6,"All_violence","tmean","females_65",5,-0.00202317646542277,-0.0302755612352706,0.026229208304425
6,"All_violence","tmean","females_65",10,-0.00404635293084555,-0.0605511224705412,0.0524584166088501
6,"assault","tmean","females_65",0,0,0,0
6,"assault","tmean","females_65",1,-0.000223108295636194,-0.00582695851111494,0.00538074191984255
6,"assault","tmean","females_65",5,-0.00111554147818097,-0.0291347925555747,0.0269037095992127
6,"assault","tmean","females_65",10,-0.00223108295636196,-0.0582695851111494,0.0538074191984255
6,"suicide","tmean","females_65",0,0,0,0
6,"suicide","tmean","females_65",1,0.0301449405525585,-0.0403175509029536,0.100607432008071
6,"suicide","tmean","females_65",5,0.150724702762793,-0.201587754514768,0.503037160040353
6,"suicide","tmean","females_65",10,0.301449405525585,-0.403175509029536,1.00607432008071
6,"All_violence","tmean","males_0",0,0,0,0
6,"All_violence","tmean","males_0",1,0.00506326282198363,0.00297404721473162,0.00715247842923564
6,"All_violence","tmean","males_0",5,0.0253163141099181,0.0148702360736581,0.0357623921461781
6,"All_violence","tmean","males_0",10,0.0506326282198363,0.0297404721473162,0.0715247842923563
6,"assault","tmean","males_0",0,0,0,0
6,"assault","tmean","males_0",1,0.00478064378236702,0.00269276854340432,0.00686851902132972
6,"assault","tmean","males_0",5,0.023903218911835,0.0134638427170216,0.0343425951066485
6,"assault","tmean","males_0",10,0.0478064378236702,0.0269276854340432,0.0686851902132971
6,"suicide","tmean","males_0",0,0,0,0
6,"suicide","tmean","males_0",1,0.00299869801092071,-0.00716677710161491,0.0131641731234563
6,"suicide","tmean","males_0",5,0.0149934900546036,-0.0358338855080746,0.0658208656172817
6,"suicide","tmean","males_0",10,0.0299869801092071,-0.0716677710161492,0.131641731234563
6,"All_violence","tmean","males_65",0,0,0,0
6,"All_violence","tmean","males_65",1,0.00227066095233641,-0.00526571238556907,0.0098070342902419
6,"All_violence","tmean","males_65",5,0.011353304761682,-0.0263285619278454,0.0490351714512094
6,"All_violence","tmean","males_65",10,0.0227066095233641,-0.0526571238556909,0.0980703429024191
6,"assault","tmean","males_65",0,0,0,0
6,"assault","tmean","males_65",1,0.00201322693843774,-0.00544585230792563,0.00947230618480112
6,"assault","tmean","males_65",5,0.0100661346921887,-0.0272292615396281,0.0473615309240055
6,"assault","tmean","males_65",10,0.0201322693843774,-0.0544585230792563,0.0947230618480111
6,"suicide","tmean","males_65",0,0,0,0
6,"suicide","tmean","males_65",1,0.0198136365905816,-0.0510105675185471,0.0906378406997104
6,"suicide","tmean","males_65",5,0.0990681829529078,-0.255052837592736,0.453189203498552
6,"suicide","tmean","males_65",10,0.198136365905816,-0.510105675185472,0.906378406997104
6,"All_violence","tmean","northeast",0,0,0,0
6,"All_violence","tmean","northeast",1,0.00311074960509271,0.000577175759954239,0.00564432345023118
6,"All_violence","tmean","northeast",5,0.0155537480254635,0.00288587879977119,0.0282216172511559
6,"All_violence","tmean","northeast",10,0.0311074960509271,0.00577175759954239,0.0564432345023118
6,"assault","tmean","northeast",0,0,0,0
6,"assault","tmean","northeast",1,0.00292103910400699,0.000376402401023411,0.00546567580699057
6,"assault","tmean","northeast",5,0.0146051955200349,0.00188201200511706,0.0273283790349528
6,"assault","tmean","northeast",10,0.0292103910400699,0.00376402401023413,0.0546567580699057
6,"suicide","tmean","northeast",0,0,0,0
6,"suicide","tmean","northeast",1,-0.000953310629034753,-0.0140090716780592,0.0121024504199897
6,"suicide","tmean","northeast",5,-0.00476655314517377,-0.070045358390296,0.0605122520999485
6,"suicide","tmean","northeast",10,-0.00953310629034753,-0.140090716780592,0.121024504199897
6,"All_violence","tmean","northern_rockies_and_plains",0,0,0,0
6,"All_violence","tmean","northern_rockies_and_plains",1,0.0045279463198479,-0.00107361841872952,0.0101295110584253
6,"All_violence","tmean","northern_rockies_and_plains",5,0.0226397315992394,-0.00536809209364759,0.0506475552921265
6,"All_violence","tmean","northern_rockies_and_plains",10,0.045279463198479,-0.0107361841872951,0.101295110584253
