"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
1,"All_violence","tmean","main",0,0,0,0
1,"All_violence","tmean","main",1,0.00449569178839329,0.00314597493307147,0.00584540864371512
1,"All_violence","tmean","main",5,0.0224784589419664,0.0157298746653573,0.0292270432185755
1,"All_violence","tmean","main",10,0.0449569178839329,0.0314597493307147,0.0584540864371512
1,"assault","tmean","main",0,0,0,0
1,"assault","tmean","main",1,0.00449176561344794,0.00313961441841764,0.00584391680847823
1,"assault","tmean","main",5,0.0224588280672396,0.0156980720920882,0.0292195840423911
1,"assault","tmean","main",10,0.0449176561344794,0.0313961441841764,0.0584391680847823
1,"suicide","tmean","main",0,0,0,0
1,"suicide","tmean","main",1,0.00905331808143726,0.00233762529388615,0.0157690108689884
1,"suicide","tmean","main",5,0.0452665904071863,0.0116881264694307,0.0788450543449418
1,"suicide","tmean","main",10,0.0905331808143725,0.0233762529388615,0.157690108689884
1,"All_violence","tmean","females",0,0,0,0
1,"All_violence","tmean","females",1,0.00468253322630725,0.00290010350157958,0.00646496295103493
1,"All_violence","tmean","females",5,0.0234126661315362,0.0145005175078979,0.0323248147551746
1,"All_violence","tmean","females",10,0.0468253322630725,0.0290010350157958,0.0646496295103492
1,"assault","tmean","females",0,0,0,0
1,"assault","tmean","females",1,0.00487930959005392,0.00308782838118018,0.00667079079892767
1,"assault","tmean","females",5,0.0243965479502696,0.0154391419059008,0.0333539539946383
1,"assault","tmean","females",10,0.0487930959005392,0.0308782838118018,0.0667079079892767
1,"suicide","tmean","females",0,0,0,0
1,"suicide","tmean","females",1,0.0034277513971752,-0.00498568554621477,0.0118411883405652
1,"suicide","tmean","females",5,0.017138756985876,-0.0249284277310739,0.0592059417028258
1,"suicide","tmean","females",10,0.0342775139717519,-0.0498568554621477,0.118411883405652
1,"All_violence","tmean","males",0,0,0,0
1,"All_violence","tmean","males",1,0.00424121828459722,0.00217804223961219,0.00630439432958226
1,"All_violence","tmean","males",5,0.0212060914229861,0.010890211198061,0.0315219716479112
1,"All_violence","tmean","males",10,0.0424121828459722,0.0217804223961219,0.0630439432958225
1,"assault","tmean","males",0,0,0,0
1,"assault","tmean","males",1,0.00397539796205025,0.00191742016757639,0.00603337575652411
1,"assault","tmean","males",5,0.0198769898102512,0.00958710083788193,0.0301668787826205
1,"assault","tmean","males",10,0.0397539796205025,0.0191742016757639,0.0603337575652411
1,"suicide","tmean","males",0,0,0,0
1,"suicide","tmean","males",1,0.0178919029721875,0.00735296290845509,0.0284308430359199
1,"suicide","tmean","males",5,0.0894595148609375,0.0367648145422754,0.142154215179599
1,"suicide","tmean","males",10,0.178919029721875,0.0735296290845509,0.284308430359199
1,"All_violence","tmean","0",0,0,0,0
1,"All_violence","tmean","0",1,0.00454038928937354,0.00313747736423202,0.00594330121451506
1,"All_violence","tmean","0",5,0.0227019464468676,0.0156873868211601,0.0297165060725752
1,"All_violence","tmean","0",10,0.0454038928937354,0.0313747736423202,0.0594330121451506
1,"assault","tmean","0",0,0,0,0
1,"assault","tmean","0",1,0.00453764044218763,0.00313090271491069,0.00594437816946458
1,"assault","tmean","0",5,0.0226882022109381,0.0156545135745534,0.0297218908473228
1,"assault","tmean","0",10,0.0453764044218763,0.0313090271491069,0.0594437816946457
1,"suicide","tmean","0",0,0,0,0
1,"suicide","tmean","0",1,0.009382132822346,0.00263472911509801,0.016129536529594
1,"suicide","tmean","0",5,0.04691066411173,0.0131736455754901,0.0806476826479699
1,"suicide","tmean","0",10,0.0938213282234599,0.0263472911509801,0.16129536529594
1,"All_violence","tmean","65",0,0,0,0
1,"All_violence","tmean","65",1,0.00376338493284117,-0.000966593211320641,0.00849336307700298
1,"All_violence","tmean","65",5,0.0188169246642058,-0.0048329660566032,0.0424668153850148
